"Condition","day","phase","hour","id","Trial","n","mean_Temp","sd_Temp","se_Temp"
"WT","Saline","light",0,53375,5,59,36.2581355932203,0.562376345262921,0.0732151639511555
"WT","Saline","light",0,53376,5,57,37.0826315789474,0.591546177148706,0.0783522052331592
"WT","Saline","light",0,53377,4,60,35.4855,0.360171451639731,0.0464979344660009
"WT","Saline","light",0,53377,5,59,35.6945762711864,0.908062207412402,0.118219629885864
"WT","Saline","light",0,53406,5,59,35.5023728813559,0.742306143236321,0.0966400284023121
"WT","Saline","light",0,53407,4,60,36.4816666666667,0.486802666547947,0.0628459540143187
"WT","Saline","light",0,53407,5,59,34.6689830508475,0.468319427223204,0.0609699962213521
"WT","Saline","light",0,1105702,7,60,34.4753333333333,0.128438690335667,0.0165813636226243
"WT","Saline","light",0,1105717,6,60,35.1876666666667,0.246111223765347,0.0317728223652639
"WT","Saline","light",0,1105717,7,60,34.4376666666667,0.330440726070997,0.0426597142993886
"WT","Saline","light",0,1110188.3,3,60,36.1758333333333,0.459802063776477,0.0593601911852699
"WT","Saline","light",0,1113216.3,3,60,35.7481666666667,0.337987521917232,0.0436340014537118
"WT","Saline","light",0,1114201.3,3,60,35.4781666666667,0.511297756185401,0.0660082564886426
"WT","Saline","light",0,1114204.3,3,60,34.418,0.375665736743068,0.0484982380715547
"WT","Saline","light",0,1115463.3,3,60,34.7943333333333,0.741328095132492,0.0957050455507936
"WT","Saline","light",1,53375,5,60,37.4991666666667,0.616983618348765,0.0796522426249186
"WT","Saline","light",1,53376,5,60,36.7171666666667,1.20267088593971,0.155264143740434
"WT","Saline","light",1,53377,4,59,36.7572881355932,0.746009684943314,0.0971221884639176
"WT","Saline","light",1,53377,5,52,35.2878846153846,1.04877956437978,0.145439557539618
"WT","Saline","light",1,53406,5,60,35.0073333333333,0.909842353017616,0.117460142697047
"WT","Saline","light",1,53407,4,59,36.7550847457627,0.526040423519989,0.0684846298699588
"WT","Saline","light",1,53407,5,60,36.2488333333333,1.24325310248403,0.160503285368045
"WT","Saline","light",1,1105702,7,60,34.4788333333333,0.0621123003366271,0.00801866349327967
"WT","Saline","light",1,1105717,6,60,35.5116666666667,0.545630304673898,0.0704405694396029
"WT","Saline","light",1,1105717,7,60,34.0421666666667,0.261948964279314,0.0338174658736689
"WT","Saline","light",1,1110188.3,3,60,35.2808333333333,0.443676060124596,0.0572783330657827
"WT","Saline","light",1,1113216.3,3,60,34.782,0.302261532283393,0.0390217960244239
"WT","Saline","light",1,1114201.3,3,60,34.1011666666667,0.139807272508721,0.0180490412701653
"WT","Saline","light",1,1114204.3,3,60,34.2706666666667,0.399452450095134,0.0515690895606734
"WT","Saline","light",1,1115463.3,3,60,32.8021666666667,1.28112383352905,0.165392375722913
"WT","Saline","light",2,53375,5,60,36.1293333333333,0.378296210130197,0.0488378307255878
"WT","Saline","light",2,53376,5,60,35.4023333333333,0.489418079454749,0.0631836023687021
"WT","Saline","light",2,53377,4,54,35.6290740740741,0.63693922733269,0.0866764502293149
"WT","Saline","light",2,53377,5,60,34.6768333333333,0.316037391408614,0.0408002517901466
"WT","Saline","light",2,53406,5,60,34.7691666666667,0.731414445027906,0.0944251988256207
"WT","Saline","light",2,53407,4,60,35.9828333333333,0.188338782982001,0.0243144323311421
"WT","Saline","light",2,53407,5,60,34.9493333333333,0.517778392052851,0.0668449029815583
"WT","Saline","light",2,1105702,7,60,34.2205,0.322503054774653,0.0416349653414416
"WT","Saline","light",2,1105717,6,60,34.8013333333333,0.178785608440139,0.0230811228010073
"WT","Saline","light",2,1105717,7,60,34.2986666666667,0.235821439679325,0.0304444169518894
"WT","Saline","light",2,1110188.3,3,60,35.2778333333333,0.469814574553916,0.060652800768428
"WT","Saline","light",2,1113216.3,3,60,34.9216666666667,0.358245094903753,0.0462492428807577
"WT","Saline","light",2,1114201.3,3,60,34.6078333333333,0.393571614600455,0.0508098769629175
"WT","Saline","light",2,1114204.3,3,60,34.6098333333333,0.382916956375956,0.0494343665008169
"WT","Saline","light",2,1115463.3,3,60,31.4466666666667,0.193422928781805,0.0249707927315531
"WT","Saline","light",3,53375,5,60,36.0543333333333,0.445357851417497,0.0574954513880894
"WT","Saline","light",3,53376,5,60,35.0521666666667,0.28363913374584,0.0366176547110112
"WT","Saline","light",3,53377,4,60,35.2271666666667,0.632592437585524,0.0816673325235164
"WT","Saline","light",3,53377,5,52,34.5036538461538,0.668125938715836,0.0926523973272099
"WT","Saline","light",3,53406,5,60,34.5125,0.90034386086462,0.116233892632959
"WT","Saline","light",3,53407,4,60,35.887,0.299453173951839,0.0386592385228142
"WT","Saline","light",3,53407,5,60,35.0198333333333,0.329573384573465,0.0425477409935414
"WT","Saline","light",3,1105702,7,60,34.2105,0.279905704461039,0.0361356710628687
"WT","Saline","light",3,1105717,6,60,34.4971666666667,0.180846331121829,0.0233471609552518
"WT","Saline","light",3,1105717,7,60,34.0713333333333,0.307424879437523,0.0396883812757116
"WT","Saline","light",3,1110188.3,3,60,35.0878333333333,0.168242074048753,0.0217199583640738
"WT","Saline","light",3,1113216.3,3,60,34.7946666666667,0.282737625673966,0.0365012705193832
"WT","Saline","light",3,1114201.3,3,60,34.3191666666667,0.218145431715934,0.0281624541362346
"WT","Saline","light",3,1114204.3,3,60,35.4436666666667,0.224453888410513,0.0289768723935138
"WT","Saline","light",3,1115463.3,3,60,32.9595,0.732981894474289,0.0946275556790162
"WT","Saline","light",4,53375,5,60,35.2858333333333,0.327586405559426,0.0422912231058535
"WT","Saline","light",4,53376,5,60,35.3278333333333,0.301707522906757,0.0389502737214454
"WT","Saline","light",4,53377,4,60,34.9473333333333,0.516916761048728,0.06673366689724
